Student Name,Course 1,Course 2,Course 3,Course 4,Course 5
Melissa,CSE 38,CSE 39,CSE 2,CSE 36,CSE 16
Ned,CSE 43,CSE 39,CSE 44,CSE 3,CSE 15
Justin,CSE 6,CSE 31,CSE 41,CSE 34,CSE 5
Audrey,CSE 20,CSE 40,CSE 9,CSE 5,CSE 5
Brianna,CSE 31,CSE 22,CSE 36,CSE 5,CSE 48
Nicholas,CSE 8,CSE 49,CSE 48,CSE 36,CSE 10
Amy,CSE 34,CSE 34,CSE 18,CSE 23,CSE 39
Ned,CSE 23,CSE 43,CSE 31,CSE 15,CSE 41
Alan,CSE 22,CSE 19,CSE 23,CSE 19,CSE 43
Ryan,CSE 17,CSE 46,CSE 24,CSE 24,CSE 13
Stella,CSE 43,CSE 42,CSE 24,CSE 38,CSE 32
Dainton,CSE 24,CSE 39,CSE 45,CSE 44,CSE 25
Bruce,CSE 6,CSE 35,CSE 9,CSE 17,CSE 37
Alberta,CSE 6,CSE 13,CSE 20,CSE 14,CSE 29
Olivia,CSE 6,CSE 25,CSE 24,CSE 23,CSE 23
April,CSE 28,CSE 35,CSE 6,CSE 4,CSE 23
Maria,CSE 37,CSE 10,CSE 3,CSE 16,CSE 20
Kelvin,CSE 31,CSE 35,CSE 3,CSE 39,CSE 27
Alberta,CSE 28,CSE 25,CSE 18,CSE 30,CSE 41
Jared,CSE 44,CSE 38,CSE 39,CSE 16,CSE 34
Ned,CSE 42,CSE 5,CSE 5,CSE 19,CSE 37
Carlos,CSE 32,CSE 37,CSE 23,CSE 5,CSE 21
Chelsea,CSE 27,CSE 31,CSE 6,CSE 25,CSE 24
Brianna,CSE 49,CSE 28,CSE 4,CSE 42,CSE 22
Edwin,CSE 38,CSE 21,CSE 43,CSE 35,CSE 35
Lyndon,CSE 42,CSE 35,CSE 2,CSE 47,CSE 9
Maya,CSE 14,CSE 18,CSE 31,CSE 1,CSE 6
Haris,CSE 23,CSE 7,CSE 8,CSE 23,CSE 9
Ashton,CSE 15,CSE 32,CSE 37,CSE 13,CSE 27
Kimberly,CSE 27,CSE 13,CSE 44,CSE 35,CSE 9
Daisy,CSE 22,CSE 17,CSE 29,CSE 45,CSE 39
Evelyn,CSE 3,CSE 22,CSE 47,CSE 1,CSE 29
Chelsea,CSE 50,CSE 50,CSE 2,CSE 46,CSE 26
Rafael,CSE 50,CSE 2,CSE 35,CSE 30,CSE 6
Arianna,CSE 4,CSE 50,CSE 34,CSE 48,CSE 17
Byron,CSE 49,CSE 48,CSE 40,CSE 43,CSE 47
Paige,CSE 15,CSE 4,CSE 6,CSE 16,CSE 18
Bruce,CSE 34,CSE 25,CSE 24,CSE 36,CSE 41
Adison,CSE 27,CSE 49,CSE 47,CSE 31,CSE 48
Nicole,CSE 35,CSE 37,CSE 10,CSE 43,CSE 32
Tara,CSE 34,CSE 10,CSE 35,CSE 27,CSE 7
Camila,CSE 5,CSE 21,CSE 22,CSE 22,CSE 40
Adele,CSE 14,CSE 13,CSE 37,CSE 38,CSE 43
Daryl,CSE 13,CSE 47,CSE 44,CSE 43,CSE 43
Maria,CSE 27,CSE 3,CSE 32,CSE 5,CSE 42
Savana,CSE 32,CSE 9,CSE 35,CSE 32,CSE 25
Jack,CSE 25,CSE 28,CSE 27,CSE 39,CSE 1
Ryan,CSE 22,CSE 47,CSE 9,CSE 17,CSE 31
Brad,CSE 1,CSE 22,CSE 4,CSE 28,CSE 44
Walter,CSE 23,CSE 26,CSE 29,CSE 44,CSE 11
Carina,CSE 42,CSE 11,CSE 45,CSE 12,CSE 43
Dainton,CSE 3,CSE 21,CSE 35,CSE 35,CSE 5
Aida,CSE 37,CSE 37,CSE 9,CSE 27,CSE 2
Briony,CSE 11,CSE 36,CSE 35,CSE 44,CSE 19
Jacob,CSE 23,CSE 45,CSE 49,CSE 17,CSE 32
Vivian,CSE 30,CSE 1,CSE 30,CSE 22,CSE 9
James,CSE 1,CSE 30,CSE 13,CSE 49,CSE 35
Amelia,CSE 21,CSE 10,CSE 21,CSE 50,CSE 8
James,CSE 8,CSE 18,CSE 17,CSE 37,CSE 18
Lily,CSE 22,CSE 3,CSE 22,CSE 1,CSE 50
Arianna,CSE 49,CSE 35,CSE 22,CSE 34,CSE 8
Natalie,CSE 32,CSE 28,CSE 8,CSE 29,CSE 14
Tony,CSE 17,CSE 28,CSE 46,CSE 17,CSE 35
Tess,CSE 45,CSE 38,CSE 41,CSE 2,CSE 47
Lyndon,CSE 34,CSE 40,CSE 34,CSE 46,CSE 47
David,CSE 38,CSE 33,CSE 47,CSE 27,CSE 5
Jack,CSE 16,CSE 27,CSE 41,CSE 1,CSE 14
Fenton,CSE 22,CSE 39,CSE 31,CSE 19,CSE 43
Kelsey,CSE 13,CSE 30,CSE 3,CSE 39,CSE 30
Savana,CSE 17,CSE 47,CSE 20,CSE 49,CSE 11
Honey,CSE 39,CSE 20,CSE 23,CSE 16,CSE 29
Eric,CSE 33,CSE 6,CSE 17,CSE 18,CSE 46
Kellan,CSE 18,CSE 30,CSE 28,CSE 8,CSE 42
Vanessa,CSE 38,CSE 19,CSE 16,CSE 38,CSE 20
Stella,CSE 48,CSE 3,CSE 21,CSE 2,CSE 26
Nicole,CSE 10,CSE 47,CSE 7,CSE 13,CSE 44
Alen,CSE 10,CSE 40,CSE 22,CSE 45,CSE 17
Adam,CSE 27,CSE 2,CSE 36,CSE 32,CSE 18
Brianna,CSE 47,CSE 41,CSE 26,CSE 36,CSE 41
Lucy,CSE 2,CSE 1,CSE 10,CSE 19,CSE 14
Julian,CSE 25,CSE 5,CSE 8,CSE 3,CSE 40
Chester,CSE 48,CSE 7,CSE 6,CSE 26,CSE 20
Madaline,CSE 32,CSE 15,CSE 42,CSE 30,CSE 19
Edith,CSE 8,CSE 41,CSE 2,CSE 25,CSE 49
Lyndon,CSE 33,CSE 10,CSE 14,CSE 5,CSE 12
Florrie,CSE 23,CSE 50,CSE 37,CSE 40,CSE 28
Tiana,CSE 32,CSE 30,CSE 46,CSE 17,CSE 23
Sophia,CSE 18,CSE 41,CSE 15,CSE 46,CSE 42
Roman,CSE 19,CSE 7,CSE 30,CSE 7,CSE 11
Tiana,CSE 31,CSE 16,CSE 11,CSE 24,CSE 25
Deanna,CSE 6,CSE 9,CSE 30,CSE 50,CSE 35
Aida,CSE 35,CSE 2,CSE 39,CSE 14,CSE 18
Connie,CSE 23,CSE 38,CSE 35,CSE 28,CSE 35
Edith,CSE 7,CSE 30,CSE 31,CSE 35,CSE 10
Arnold,CSE 28,CSE 38,CSE 50,CSE 47,CSE 44
Vivian,CSE 13,CSE 40,CSE 3,CSE 32,CSE 25
Natalie,CSE 21,CSE 49,CSE 31,CSE 27,CSE 31
Agata,CSE 11,CSE 17,CSE 8,CSE 46,CSE 35
Adelaide,CSE 4,CSE 12,CSE 8,CSE 27,CSE 41
Jacob,CSE 34,CSE 43,CSE 26,CSE 42,CSE 10
Ted,CSE 5,CSE 41,CSE 15,CSE 11,CSE 38
Sienna,CSE 46,CSE 34,CSE 26,CSE 30,CSE 8
Alexander,CSE 24,CSE 15,CSE 27,CSE 7,CSE 23
Rosie,CSE 36,CSE 22,CSE 18,CSE 4,CSE 23
Belinda,CSE 14,CSE 43,CSE 43,CSE 24,CSE 2
Ryan,CSE 10,CSE 50,CSE 37,CSE 27,CSE 29
Carl,CSE 48,CSE 30,CSE 41,CSE 34,CSE 6
Richard,CSE 40,CSE 11,CSE 12,CSE 39,CSE 3
Lily,CSE 17,CSE 13,CSE 24,CSE 42,CSE 21
Kristian,CSE 6,CSE 15,CSE 43,CSE 32,CSE 5
Adrian,CSE 19,CSE 37,CSE 42,CSE 12,CSE 18
Olivia,CSE 31,CSE 7,CSE 11,CSE 17,CSE 19
Kellan,CSE 42,CSE 3,CSE 4,CSE 10,CSE 6
Jordan,CSE 37,CSE 26,CSE 48,CSE 3,CSE 4
Edgar,CSE 37,CSE 11,CSE 48,CSE 30,CSE 40
Carina,CSE 26,CSE 39,CSE 24,CSE 12,CSE 33
Violet,CSE 5,CSE 45,CSE 16,CSE 50,CSE 13
Charlie,CSE 49,CSE 39,CSE 43,CSE 5,CSE 24
Oliver,CSE 47,CSE 33,CSE 42,CSE 4,CSE 17
Amelia,CSE 20,CSE 47,CSE 39,CSE 17,CSE 13
Maddie,CSE 7,CSE 20,CSE 48,CSE 8,CSE 40
Tess,CSE 45,CSE 46,CSE 18,CSE 3,CSE 24
Abraham,CSE 5,CSE 31,CSE 7,CSE 36,CSE 20
Michelle,CSE 7,CSE 23,CSE 34,CSE 1,CSE 36
Frederick,CSE 20,CSE 26,CSE 19,CSE 19,CSE 16
Mary,CSE 1,CSE 9,CSE 26,CSE 39,CSE 49
James,CSE 40,CSE 16,CSE 44,CSE 23,CSE 37
Chester,CSE 14,CSE 29,CSE 8,CSE 4,CSE 17
Rafael,CSE 50,CSE 45,CSE 30,CSE 9,CSE 23
Wilson,CSE 9,CSE 22,CSE 34,CSE 13,CSE 50
Brianna,CSE 46,CSE 21,CSE 26,CSE 20,CSE 6
Lilianna,CSE 14,CSE 31,CSE 17,CSE 37,CSE 14
Sydney,CSE 12,CSE 30,CSE 41,CSE 8,CSE 1
Bruce,CSE 2,CSE 4,CSE 24,CSE 18,CSE 29
Maximilian,CSE 15,CSE 41,CSE 43,CSE 37,CSE 26
Ryan,CSE 30,CSE 25,CSE 28,CSE 18,CSE 37
Myra,CSE 23,CSE 12,CSE 22,CSE 28,CSE 37
Albert,CSE 41,CSE 10,CSE 24,CSE 11,CSE 9
Spike,CSE 40,CSE 1,CSE 22,CSE 25,CSE 16
Valeria,CSE 44,CSE 19,CSE 36,CSE 16,CSE 46
Adrian,CSE 26,CSE 26,CSE 44,CSE 35,CSE 42
Edith,CSE 29,CSE 49,CSE 24,CSE 19,CSE 17
Alan,CSE 22,CSE 11,CSE 20,CSE 21,CSE 35
Emma,CSE 36,CSE 28,CSE 41,CSE 20,CSE 41
Daniel,CSE 45,CSE 31,CSE 24,CSE 12,CSE 10
Edgar,CSE 32,CSE 3,CSE 11,CSE 14,CSE 38
Alberta,CSE 18,CSE 26,CSE 14,CSE 12,CSE 1
Sabrina,CSE 27,CSE 43,CSE 5,CSE 5,CSE 50
Oscar,CSE 28,CSE 36,CSE 16,CSE 24,CSE 18
Heather,CSE 41,CSE 4,CSE 2,CSE 12,CSE 47
Arianna,CSE 2,CSE 7,CSE 34,CSE 42,CSE 44
Luke,CSE 15,CSE 27,CSE 41,CSE 42,CSE 25
Paul,CSE 17,CSE 31,CSE 49,CSE 32,CSE 12
Joyce,CSE 6,CSE 39,CSE 9,CSE 26,CSE 50
Ted,CSE 2,CSE 45,CSE 48,CSE 23,CSE 39
Michael,CSE 21,CSE 17,CSE 6,CSE 23,CSE 2
Brianna,CSE 9,CSE 41,CSE 11,CSE 48,CSE 45
Maddie,CSE 18,CSE 6,CSE 7,CSE 48,CSE 22
Eddy,CSE 29,CSE 2,CSE 37,CSE 42,CSE 3
Rafael,CSE 32,CSE 36,CSE 16,CSE 34,CSE 42
Jenna,CSE 31,CSE 20,CSE 12,CSE 41,CSE 47
Abraham,CSE 25,CSE 7,CSE 49,CSE 2,CSE 35
Adison,CSE 22,CSE 30,CSE 39,CSE 17,CSE 1
Adam,CSE 41,CSE 14,CSE 36,CSE 12,CSE 2
Bruce,CSE 41,CSE 8,CSE 10,CSE 29,CSE 41
Lydia,CSE 1,CSE 10,CSE 41,CSE 38,CSE 12
Tiana,CSE 45,CSE 34,CSE 49,CSE 19,CSE 47
Heather,CSE 19,CSE 39,CSE 47,CSE 14,CSE 1
Clark,CSE 16,CSE 24,CSE 44,CSE 49,CSE 11
Carl,CSE 21,CSE 25,CSE 22,CSE 1,CSE 39
Cadie,CSE 23,CSE 3,CSE 5,CSE 41,CSE 3
Gianna,CSE 23,CSE 42,CSE 45,CSE 44,CSE 12
Nicholas,CSE 8,CSE 38,CSE 36,CSE 9,CSE 8
Madaline,CSE 38,CSE 23,CSE 26,CSE 5,CSE 4
Justin,CSE 4,CSE 44,CSE 13,CSE 29,CSE 6
Ashton,CSE 19,CSE 16,CSE 2,CSE 28,CSE 42
Paul,CSE 45,CSE 30,CSE 34,CSE 23,CSE 24
Preston,CSE 26,CSE 3,CSE 26,CSE 32,CSE 21
Jessica,CSE 10,CSE 36,CSE 28,CSE 35,CSE 5
Rafael,CSE 4,CSE 45,CSE 3,CSE 49,CSE 49
Sophia,CSE 14,CSE 30,CSE 30,CSE 1,CSE 41
Daisy,CSE 40,CSE 30,CSE 44,CSE 50,CSE 6
Robert,CSE 41,CSE 41,CSE 21,CSE 49,CSE 21
James,CSE 17,CSE 49,CSE 6,CSE 41,CSE 33
Valeria,CSE 17,CSE 47,CSE 12,CSE 41,CSE 1
Lyndon,CSE 46,CSE 50,CSE 19,CSE 15,CSE 21
Miley,CSE 48,CSE 13,CSE 39,CSE 42,CSE 43
Aida,CSE 37,CSE 35,CSE 9,CSE 48,CSE 36
Heather,CSE 46,CSE 48,CSE 36,CSE 24,CSE 49
Kimberly,CSE 37,CSE 24,CSE 19,CSE 18,CSE 16
Alissa,CSE 36,CSE 19,CSE 39,CSE 48,CSE 38
Charlie,CSE 20,CSE 41,CSE 39,CSE 48,CSE 44
Tiana,CSE 34,CSE 2,CSE 44,CSE 4,CSE 9
Tiana,CSE 17,CSE 28,CSE 30,CSE 26,CSE 11
Albert,CSE 17,CSE 49,CSE 46,CSE 32,CSE 48
Camila,CSE 40,CSE 42,CSE 21,CSE 2,CSE 22
David,CSE 43,CSE 3,CSE 34,CSE 43,CSE 14
Charlie,CSE 21,CSE 28,CSE 35,CSE 20,CSE 7
Michelle,CSE 46,CSE 13,CSE 49,CSE 10,CSE 3
Aldus,CSE 43,CSE 32,CSE 29,CSE 30,CSE 28
Dale,CSE 41,CSE 9,CSE 28,CSE 43,CSE 15
Brooke,CSE 22,CSE 36,CSE 17,CSE 43,CSE 11
Madaline,CSE 34,CSE 26,CSE 17,CSE 7,CSE 48
Rafael,CSE 22,CSE 20,CSE 14,CSE 50,CSE 43
Martin,CSE 20,CSE 36,CSE 17,CSE 9,CSE 29
Violet,CSE 6,CSE 18,CSE 16,CSE 36,CSE 10
Edith,CSE 18,CSE 41,CSE 8,CSE 45,CSE 33
Roman,CSE 45,CSE 38,CSE 47,CSE 45,CSE 27
Tiana,CSE 22,CSE 34,CSE 16,CSE 28,CSE 37
Tony,CSE 45,CSE 9,CSE 38,CSE 37,CSE 39
Audrey,CSE 37,CSE 26,CSE 23,CSE 21,CSE 40
Jared,CSE 7,CSE 36,CSE 3,CSE 40,CSE 22
Miley,CSE 38,CSE 28,CSE 20,CSE 20,CSE 31
Florrie,CSE 25,CSE 50,CSE 24,CSE 26,CSE 46
Abraham,CSE 45,CSE 42,CSE 16,CSE 10,CSE 41
Mike,CSE 9,CSE 45,CSE 24,CSE 18,CSE 39
Alexia,CSE 6,CSE 5,CSE 19,CSE 34,CSE 9
Kelvin,CSE 13,CSE 10,CSE 8,CSE 27,CSE 18
Aiden,CSE 48,CSE 41,CSE 20,CSE 29,CSE 36
Natalie,CSE 9,CSE 18,CSE 16,CSE 15,CSE 11
Stuart,CSE 19,CSE 30,CSE 9,CSE 46,CSE 12
Carl,CSE 4,CSE 41,CSE 16,CSE 20,CSE 7
Alford,CSE 24,CSE 12,CSE 32,CSE 26,CSE 17
Mike,CSE 10,CSE 9,CSE 15,CSE 31,CSE 4
Savana,CSE 15,CSE 10,CSE 9,CSE 10,CSE 47
Dexter,CSE 41,CSE 18,CSE 5,CSE 47,CSE 5
Carlos,CSE 27,CSE 30,CSE 11,CSE 34,CSE 39
Anna,CSE 8,CSE 39,CSE 10,CSE 47,CSE 47
Briony,CSE 4,CSE 15,CSE 22,CSE 49,CSE 16
David,CSE 35,CSE 8,CSE 44,CSE 49,CSE 2
Adele,CSE 10,CSE 8,CSE 18,CSE 9,CSE 43
Victor,CSE 35,CSE 28,CSE 20,CSE 22,CSE 6
Florrie,CSE 23,CSE 17,CSE 30,CSE 25,CSE 35
John,CSE 11,CSE 17,CSE 23,CSE 19,CSE 45
Richard,CSE 49,CSE 18,CSE 14,CSE 46,CSE 50
Arthur,CSE 2,CSE 41,CSE 9,CSE 27,CSE 3
Heather,CSE 28,CSE 2,CSE 42,CSE 34,CSE 20
Miley,CSE 49,CSE 28,CSE 11,CSE 40,CSE 25
John,CSE 22,CSE 44,CSE 23,CSE 19,CSE 41
Nicole,CSE 20,CSE 1,CSE 28,CSE 36,CSE 11
Heather,CSE 15,CSE 43,CSE 3,CSE 41,CSE 44
Thomas,CSE 11,CSE 25,CSE 7,CSE 10,CSE 20
Miley,CSE 23,CSE 25,CSE 35,CSE 46,CSE 12
Ellia,CSE 26,CSE 5,CSE 15,CSE 21,CSE 20
Brianna,CSE 23,CSE 15,CSE 10,CSE 42,CSE 43
Alan,CSE 13,CSE 45,CSE 49,CSE 48,CSE 31
Michelle,CSE 26,CSE 48,CSE 34,CSE 13,CSE 32
Kirsten,CSE 22,CSE 46,CSE 11,CSE 14,CSE 9
Arthur,CSE 29,CSE 30,CSE 4,CSE 45,CSE 1
Haris,CSE 3,CSE 27,CSE 45,CSE 30,CSE 49
Patrick,CSE 19,CSE 44,CSE 1,CSE 44,CSE 16
Byron,CSE 34,CSE 32,CSE 35,CSE 28,CSE 4
Jenna,CSE 42,CSE 20,CSE 11,CSE 30,CSE 31
Luke,CSE 26,CSE 10,CSE 32,CSE 26,CSE 10
Mary,CSE 11,CSE 31,CSE 40,CSE 27,CSE 20
Edgar,CSE 33,CSE 36,CSE 16,CSE 39,CSE 46
Mike,CSE 3,CSE 22,CSE 42,CSE 15,CSE 31
Penelope,CSE 41,CSE 8,CSE 16,CSE 8,CSE 30
Marcus,CSE 2,CSE 13,CSE 44,CSE 43,CSE 38
Martin,CSE 13,CSE 42,CSE 10,CSE 13,CSE 44
James,CSE 36,CSE 21,CSE 28,CSE 21,CSE 6
Rosie,CSE 49,CSE 10,CSE 24,CSE 12,CSE 28
Emily,CSE 20,CSE 21,CSE 5,CSE 36,CSE 7
Alisa,CSE 41,CSE 49,CSE 8,CSE 50,CSE 37
Lyndon,CSE 2,CSE 7,CSE 30,CSE 26,CSE 30
Sydney,CSE 35,CSE 46,CSE 19,CSE 22,CSE 47
Eleanor,CSE 33,CSE 9,CSE 32,CSE 1,CSE 29
Victor,CSE 49,CSE 30,CSE 20,CSE 47,CSE 40
Ryan,CSE 46,CSE 37,CSE 15,CSE 47,CSE 33
Heather,CSE 2,CSE 19,CSE 34,CSE 49,CSE 33
Sophia,CSE 49,CSE 16,CSE 44,CSE 41,CSE 29
Fenton,CSE 12,CSE 1,CSE 27,CSE 43,CSE 7
Jared,CSE 29,CSE 21,CSE 4,CSE 50,CSE 19
Reid,CSE 49,CSE 39,CSE 19,CSE 17,CSE 25
Dexter,CSE 26,CSE 45,CSE 32,CSE 13,CSE 15
Roland,CSE 22,CSE 3,CSE 47,CSE 4,CSE 12
Natalie,CSE 45,CSE 1,CSE 23,CSE 33,CSE 7
Roman,CSE 10,CSE 6,CSE 47,CSE 12,CSE 12
Spike,CSE 30,CSE 31,CSE 28,CSE 19,CSE 13
Dainton,CSE 17,CSE 50,CSE 32,CSE 38,CSE 49
Bruce,CSE 30,CSE 41,CSE 49,CSE 1,CSE 42
Miranda,CSE 38,CSE 12,CSE 7,CSE 35,CSE 12
Paul,CSE 35,CSE 4,CSE 42,CSE 35,CSE 36
Amelia,CSE 25,CSE 25,CSE 25,CSE 2,CSE 35
Deanna,CSE 14,CSE 1,CSE 34,CSE 45,CSE 27
Ellia,CSE 17,CSE 10,CSE 9,CSE 3,CSE 4
Evelyn,CSE 4,CSE 44,CSE 25,CSE 9,CSE 28
Jared,CSE 17,CSE 20,CSE 31,CSE 50,CSE 43
Ryan,CSE 41,CSE 50,CSE 14,CSE 26,CSE 36
Olivia,CSE 23,CSE 45,CSE 25,CSE 16,CSE 39
Rebecca,CSE 49,CSE 3,CSE 8,CSE 13,CSE 47
Roman,CSE 6,CSE 29,CSE 40,CSE 36,CSE 34
Charlotte,CSE 50,CSE 26,CSE 37,CSE 50,CSE 25
Frederick,CSE 31,CSE 29,CSE 12,CSE 46,CSE 31
Joyce,CSE 31,CSE 31,CSE 36,CSE 35,CSE 13
Violet,CSE 17,CSE 40,CSE 33,CSE 33,CSE 18
Lana,CSE 32,CSE 47,CSE 32,CSE 2,CSE 7
Maya,CSE 5,CSE 19,CSE 15,CSE 28,CSE 31
April,CSE 44,CSE 19,CSE 25,CSE 6,CSE 35
Albert,CSE 6,CSE 32,CSE 40,CSE 23,CSE 29
Edward,CSE 25,CSE 22,CSE 48,CSE 49,CSE 15
Lilianna,CSE 30,CSE 23,CSE 11,CSE 45,CSE 39
Stuart,CSE 40,CSE 49,CSE 14,CSE 21,CSE 2
Audrey,CSE 46,CSE 15,CSE 11,CSE 1,CSE 43
Adelaide,CSE 42,CSE 19,CSE 45,CSE 15,CSE 45
Oscar,CSE 8,CSE 26,CSE 16,CSE 47,CSE 20
Gianna,CSE 17,CSE 41,CSE 13,CSE 7,CSE 32
Emily,CSE 4,CSE 20,CSE 39,CSE 44,CSE 41
Luke,CSE 41,CSE 17,CSE 5,CSE 27,CSE 22
Ashton,CSE 41,CSE 4,CSE 21,CSE 12,CSE 33
Maddie,CSE 44,CSE 12,CSE 45,CSE 1,CSE 42
Wilson,CSE 8,CSE 4,CSE 9,CSE 1,CSE 24
Patrick,CSE 24,CSE 18,CSE 6,CSE 22,CSE 44
Dexter,CSE 42,CSE 26,CSE 45,CSE 8,CSE 20
Dale,CSE 32,CSE 16,CSE 44,CSE 20,CSE 32
Eleanor,CSE 35,CSE 14,CSE 41,CSE 22,CSE 26
Caroline,CSE 34,CSE 42,CSE 41,CSE 27,CSE 7
Jasmine,CSE 36,CSE 25,CSE 36,CSE 45,CSE 8
Madaline,CSE 10,CSE 34,CSE 46,CSE 12,CSE 7
Robert,CSE 44,CSE 38,CSE 18,CSE 26,CSE 22
Dexter,CSE 30,CSE 23,CSE 4,CSE 50,CSE 35
Natalie,CSE 23,CSE 4,CSE 10,CSE 37,CSE 40
Daniel,CSE 33,CSE 33,CSE 30,CSE 50,CSE 25
Lydia,CSE 26,CSE 7,CSE 6,CSE 45,CSE 12
Richard,CSE 13,CSE 7,CSE 23,CSE 41,CSE 16
George,CSE 7,CSE 32,CSE 29,CSE 47,CSE 25
Darcy,CSE 16,CSE 12,CSE 23,CSE 19,CSE 6
Amanda,CSE 36,CSE 19,CSE 9,CSE 43,CSE 39
Lucia,CSE 11,CSE 44,CSE 19,CSE 27,CSE 39
Alexia,CSE 5,CSE 4,CSE 6,CSE 24,CSE 32
Brianna,CSE 1,CSE 3,CSE 3,CSE 48,CSE 45
Myra,CSE 7,CSE 12,CSE 6,CSE 22,CSE 11
Brianna,CSE 47,CSE 14,CSE 28,CSE 3,CSE 9
Chelsea,CSE 25,CSE 38,CSE 29,CSE 41,CSE 33
Sarah,CSE 49,CSE 23,CSE 16,CSE 24,CSE 8
Maya,CSE 9,CSE 38,CSE 35,CSE 17,CSE 27
Adam,CSE 41,CSE 44,CSE 34,CSE 29,CSE 36
Valeria,CSE 3,CSE 40,CSE 3,CSE 44,CSE 22
Kirsten,CSE 48,CSE 38,CSE 44,CSE 3,CSE 20
Richard,CSE 23,CSE 22,CSE 8,CSE 4,CSE 39
Tyler,CSE 28,CSE 40,CSE 25,CSE 31,CSE 5
Sawyer,CSE 41,CSE 1,CSE 9,CSE 32,CSE 45
Roman,CSE 11,CSE 36,CSE 40,CSE 21,CSE 26
Elise,CSE 48,CSE 26,CSE 21,CSE 16,CSE 4
Daniel,CSE 17,CSE 36,CSE 32,CSE 48,CSE 35
Abraham,CSE 6,CSE 24,CSE 24,CSE 15,CSE 48
Daisy,CSE 30,CSE 25,CSE 37,CSE 16,CSE 27
Oscar,CSE 21,CSE 25,CSE 7,CSE 12,CSE 22
James,CSE 12,CSE 8,CSE 31,CSE 47,CSE 17
Justin,CSE 19,CSE 45,CSE 21,CSE 48,CSE 20
Carl,CSE 49,CSE 23,CSE 14,CSE 35,CSE 43
Carina,CSE 7,CSE 13,CSE 32,CSE 13,CSE 13
Walter,CSE 17,CSE 10,CSE 29,CSE 29,CSE 45
Tony,CSE 16,CSE 39,CSE 9,CSE 43,CSE 8
Arnold,CSE 41,CSE 26,CSE 45,CSE 14,CSE 14
Julia,CSE 1,CSE 40,CSE 23,CSE 49,CSE 44
Eleanor,CSE 30,CSE 47,CSE 9,CSE 34,CSE 4
Maddie,CSE 40,CSE 28,CSE 1,CSE 41,CSE 6
Edward,CSE 20,CSE 49,CSE 27,CSE 24,CSE 4
Mike,CSE 14,CSE 1,CSE 14,CSE 36,CSE 16
Paul,CSE 35,CSE 44,CSE 13,CSE 44,CSE 6
Olivia,CSE 40,CSE 23,CSE 41,CSE 35,CSE 39
Bruce,CSE 50,CSE 32,CSE 11,CSE 9,CSE 20
Adelaide,CSE 25,CSE 26,CSE 7,CSE 44,CSE 11
Tony,CSE 35,CSE 10,CSE 50,CSE 7,CSE 42
Tess,CSE 38,CSE 12,CSE 34,CSE 23,CSE 50
Alberta,CSE 21,CSE 11,CSE 48,CSE 26,CSE 46
Tyler,CSE 17,CSE 40,CSE 26,CSE 48,CSE 36
Miller,CSE 21,CSE 33,CSE 2,CSE 16,CSE 33
Freddie,CSE 22,CSE 46,CSE 35,CSE 31,CSE 11
Rubie,CSE 14,CSE 22,CSE 10,CSE 46,CSE 17
Sydney,CSE 25,CSE 20,CSE 46,CSE 12,CSE 43
Connie,CSE 43,CSE 15,CSE 32,CSE 16,CSE 47
Amber,CSE 45,CSE 30,CSE 20,CSE 5,CSE 26
Olivia,CSE 33,CSE 25,CSE 39,CSE 46,CSE 22
Elian,CSE 33,CSE 9,CSE 2,CSE 34,CSE 15
Alen,CSE 12,CSE 2,CSE 49,CSE 12,CSE 39
Henry,CSE 2,CSE 44,CSE 41,CSE 22,CSE 47
Alexia,CSE 14,CSE 2,CSE 45,CSE 38,CSE 3
Charlotte,CSE 12,CSE 21,CSE 20,CSE 16,CSE 37
Lydia,CSE 24,CSE 10,CSE 8,CSE 38,CSE 12
Lilianna,CSE 32,CSE 47,CSE 18,CSE 21,CSE 42
Darcy,CSE 11,CSE 37,CSE 2,CSE 4,CSE 27
Sophia,CSE 2,CSE 35,CSE 7,CSE 6,CSE 47
Brad,CSE 5,CSE 24,CSE 9,CSE 32,CSE 20
Jack,CSE 2,CSE 38,CSE 9,CSE 44,CSE 30
Wilson,CSE 34,CSE 10,CSE 1,CSE 13,CSE 15
Justin,CSE 6,CSE 4,CSE 40,CSE 18,CSE 4
Chester,CSE 20,CSE 25,CSE 36,CSE 21,CSE 43
Jared,CSE 28,CSE 46,CSE 18,CSE 20,CSE 47
Freddie,CSE 29,CSE 20,CSE 20,CSE 25,CSE 45
Jacob,CSE 16,CSE 27,CSE 41,CSE 37,CSE 17
Belinda,CSE 29,CSE 47,CSE 32,CSE 22,CSE 4
Darcy,CSE 19,CSE 45,CSE 18,CSE 39,CSE 4
Jasmine,CSE 10,CSE 44,CSE 43,CSE 19,CSE 40
Blake,CSE 41,CSE 21,CSE 27,CSE 37,CSE 33
Charlie,CSE 22,CSE 10,CSE 3,CSE 6,CSE 23
Alfred,CSE 41,CSE 39,CSE 25,CSE 4,CSE 21
Tiana,CSE 30,CSE 31,CSE 3,CSE 15,CSE 1
Annabella,CSE 41,CSE 14,CSE 29,CSE 7,CSE 6
Eddy,CSE 32,CSE 9,CSE 18,CSE 40,CSE 12
Grace,CSE 7,CSE 35,CSE 11,CSE 35,CSE 32
Jacob,CSE 14,CSE 48,CSE 24,CSE 32,CSE 24
